bank_name,product_type,product_name,min_amount,max_amount,interest_rate_min,interest_rate_max,tenure_options,processing_fee_pct,annual_fee,eligibility_notes,source_url,source_note,last_verified_date
SBI,personal_loan,SBI Xpress Credit Personal Loan,50000,2000000,11.45,14.60,"[12,24,36,48,60,72]",1.50,,"Salaried applicants; typical min net monthly income around Rs 15000; CIBIL 750+ for the lower end of the band",,"Representative rate band in line with publicly advertised ranges for this product category; illustrative for this prototype, not a live quote. Verify the current rate on the bank's official website before any real use.",2026-09-12
HDFC Bank,personal_loan,HDFC Bank Personal Loan,50000,4000000,10.85,21.00,"[12,24,36,48,60]",2.50,,"Salaried and self-employed; typical min net monthly income around Rs 25000; best rates for CIBIL 780+","","Representative rate band in line with publicly advertised ranges for this product category; illustrative for this prototype, not a live quote. Verify the current rate on the bank's official website before any real use.",2026-09-12
ICICI Bank,personal_loan,ICICI Bank Personal Loan,50000,5000000,10.85,16.65,"[12,24,36,48,60,72]",2.00,,"Salaried applicants; typical min net monthly income around Rs 30000; CIBIL 750+","","Representative rate band in line with publicly advertised ranges for this product category; illustrative for this prototype, not a live quote. Verify the current rate on the bank's official website before any real use.",2026-09-12
Axis Bank,personal_loan,Axis Bank Personal Loan,50000,4000000,11.10,22.00,"[12,24,36,48,60]",2.00,,"Salaried applicants; typical min net monthly income around Rs 15000; CIBIL 720+","","Representative rate band in line with publicly advertised ranges for this product category; illustrative for this prototype, not a live quote. Verify the current rate on the bank's official website before any real use.",2026-09-12
Kotak Mahindra Bank,personal_loan,Kotak Personal Loan,50000,4000000,10.99,16.99,"[12,24,36,48,60]",2.50,,"Salaried applicants; typical min net monthly income around Rs 25000; CIBIL 750+","","Representative rate band in line with publicly advertised ranges for this product category; illustrative for this prototype, not a live quote. Verify the current rate on the bank's official website before any real use.",2026-09-12
Bank of Baroda,personal_loan,Baroda Personal Loan,50000,1500000,11.05,18.50,"[12,24,36,48,60,72]",1.00,,"Salaried and self-employed; government/PSU employees get preferential pricing; CIBIL 700+","","Representative rate band in line with publicly advertised ranges for this product category; illustrative for this prototype, not a live quote. Verify the current rate on the bank's official website before any real use.",2026-09-12
Punjab National Bank,personal_loan,PNB Personal Loan,50000,1000000,11.40,17.00,"[12,24,36,48,60]",1.00,,"Salaried applicants, preferential terms for government employees; CIBIL 700+","","Representative rate band in line with publicly advertised ranges for this product category; illustrative for this prototype, not a live quote. Verify the current rate on the bank's official website before any real use.",2026-09-12
SBI,credit_card,SBI SimplySAVE Credit Card,25000,500000,38.00,45.00,[],,499,"Min annual income roughly Rs 3 lakh; CIBIL 750+; APR applies only to revolved balances","","Representative APR and fee band in line with publicly advertised ranges for this card category; illustrative for this prototype, not a live quote. Verify current terms on the bank's official website before any real use.",2026-09-12
HDFC Bank,credit_card,HDFC Bank MoneyBack+ Credit Card,25000,1000000,38.00,45.00,[],,500,"Min net monthly income roughly Rs 25000 for salaried; CIBIL 750+; APR applies only to revolved balances","","Representative APR and fee band in line with publicly advertised ranges for this card category; illustrative for this prototype, not a live quote. Verify current terms on the bank's official website before any real use.",2026-09-12
ICICI Bank,credit_card,ICICI Bank Coral Credit Card,25000,1000000,38.00,44.00,[],,500,"Min annual income roughly Rs 3 lakh; CIBIL 750+; APR applies only to revolved balances","","Representative APR and fee band in line with publicly advertised ranges for this card category; illustrative for this prototype, not a live quote. Verify current terms on the bank's official website before any real use.",2026-09-12
Axis Bank,credit_card,Axis Bank ACE Credit Card,25000,800000,37.00,46.00,[],,499,"Min net monthly income roughly Rs 25000; CIBIL 750+; APR applies only to revolved balances","","Representative APR and fee band in line with publicly advertised ranges for this card category; illustrative for this prototype, not a live quote. Verify current terms on the bank's official website before any real use.",2026-09-12
Kotak Mahindra Bank,credit_card,Kotak League Platinum Credit Card,25000,600000,37.20,44.00,[],,499,"Min annual income roughly Rs 3 lakh; CIBIL 750+; APR applies only to revolved balances","","Representative APR and fee band in line with publicly advertised ranges for this card category; illustrative for this prototype, not a live quote. Verify current terms on the bank's official website before any real use.",2026-09-12
Bank of Baroda,credit_card,BoB Easy Credit Card,25000,400000,36.00,43.00,[],,500,"Min annual income roughly Rs 2.5 lakh; CIBIL 700+; APR applies only to revolved balances","","Representative APR and fee band in line with publicly advertised ranges for this card category; illustrative for this prototype, not a live quote. Verify current terms on the bank's official website before any real use.",2026-09-12
SBI,term_insurance,SBI Life eShield Next,500000,20000000,0.00,0.00,"[10,15,20,25,30]",,,"Entry age 18-65; medical underwriting above Rs 50 lakh cover; premium scales with age, cover and term","","Premium is computed by the app from a representative premium-per-lakh band rather than a live quote; illustrative for this prototype. Verify current premiums on the insurer's official website before any real use.",2026-09-12
